GeneID	B14.5.new.bam	B15.5.new.bam	B17.5.new.bam	B20.new.bam	B34.new.bam	C14.5.new.bam	C15.5.new.bam	C17.5.new.bam	C20.new.bam	C34.new.bam
MSTRG.1	0	0	0	1	0	0	0	0	1	0
MSTRG.2	12	10	28	16	15	11	13	18	18	6
MSTRG.8	2	3	22	13	39	0	4	3	5	6
MSTRG.9	20	13	44	26	24	23	24	37	20	19
MSTRG.10	14	20	25	23	17	13	15	7	16	5
MSTRG.11	13	17	11	14	9	13	12	9	14	17
MSTRG.12	245	237	212	194	172	220	198	216	221	197
MSTRG.13	392	314	262	302	263	286	356	400	296	291
MSTRG.14	476	406	508	562	506	492	520	309	722	444
MSTRG.15	2	4	5	8	2	4	7	10	7	3
MSTRG.16	11	24	13	33	38	8	11	67	55	12
MSTRG.17	2783	2246	2191	1911	1417	2375	1890	1363	1707	1749
MSTRG.18	0	0	0	2	1	0	0	0	0	0
MSTRG.22	487	435	430	264	179	291	308	188	287	127
MSTRG.23	381	419	510	432	601	299	365	457	380	269
MSTRG.24	1	0	1	1	0	0	0	1	1	0
MSTRG.25	7	5	8	8	0	12	8	9	3	0
MSTRG.26	1	0	0	0	0	0	0	2	0	0
MSTRG.28	8	3	7	5	3	16	7	3	4	1
MSTRG.29	13	25	8	16	4	3	17	10	6	15
MSTRG.30	2089	1977	1713	1705	973	2580	1857	1008	1392	1237
MSTRG.31	1	1	0	2	0	3	0	0	0	3
MSTRG.32	209	199	282	243	163	197	172	248	199	79
MSTRG.33	1147	1244	1329	1538	1566	1218	1295	1025	1268	2007
MSTRG.34	0	0	1	4	4	0	0	0	0	0
MSTRG.35	166	174	205	187	206	160	211	172	213	243
MSTRG.36	444	476	423	486	749	438	466	675	623	792
MSTRG.37	16	9	14	23	41	10	20	15	30	64
MSTRG.38	55	92	91	87	132	69	85	74	138	94
MSTRG.39	3	6	11	17	36	1	1	21	19	9
MSTRG.40	13	15	14	11	23	6	16	8	23	32
MSTRG.41	3	7	4	7	7	5	2	10	4	8
MSTRG.42	541	665	624	537	167	482	462	576	411	266
MSTRG.44	1152	1096	943	1063	1211	1023	1079	1360	1246	1998
MSTRG.45	1194	2201	2010	2337	3128	1422	2302	3787	2645	3325
MSTRG.46	6	9	3	9	3	17	14	1	5	10
MSTRG.47	72	112	103	93	56	114	118	66	94	104
MSTRG.48	32	41	17	30	27	95	49	15	35	37
MSTRG.49	0	0	0	0	0	1	0	2	0	27
MSTRG.50	165	209	178	176	145	136	236	268	179	268
MSTRG.51	631	1078	1329	1919	2887	1035	1627	2763	2823	4301
MSTRG.52	321	323	337	283	373	377	346	472	332	617
MSTRG.53	347	307	224	220	272	167	256	255	291	258
MSTRG.54	0	0	1	1	0	1	1	0	1	5
MSTRG.55	4	2	2	1	0	1	5	3	0	2
MSTRG.56	1162	1131	1136	1094	915	962	1028	1115	1006	998
MSTRG.57	600	685	726	646	559	638	749	781	667	727
MSTRG.58	65	47	76	88	140	66	104	118	148	495
MSTRG.59	17	10	8	16	7	8	10	9	9	1
MSTRG.60	2555	2330	2121	2062	2276	2337	2228	2883	2177	1778
MSTRG.61	1	2	0	5	3	1	2	0	1	1
MSTRG.62	289	238	198	187	115	198	229	258	240	205
MSTRG.63	99	99	117	103	101	74	120	105	153	108
MSTRG.65	651	1067	1280	1421	1600	1415	1814	2526	2587	1926
MSTRG.68	1421	1661	1782	2028	2193	1519	1828	2505	2442	3129
MSTRG.69	0	0	0	0	0	0	1	0	0	0
MSTRG.70	2394	2274	2356	2038	1783	2225	1930	1617	1994	1900
MSTRG.71	36	21	24	18	13	18	26	14	14	29
MSTRG.72	5	2	2	1	3	3	4	0	2	3
MSTRG.73	21	29	47	48	308	25	80	72	138	833
MSTRG.75	366	391	550	640	740	329	471	604	854	1336
MSTRG.76	935	1176	1063	1149	745	713	1088	1599	1208	292
MSTRG.77	247	237	220	196	142	178	235	295	210	179
MSTRG.78	53	53	65	89	24	42	30	71	61	31
MSTRG.79	2	4	1	1	3	5	2	1	0	0
MSTRG.81	4279	4866	5767	7440	17890	4889	4431	4572	4981	8629
MSTRG.82	2915	2764	2157	1757	972	2399	2300	1751	1601	1425
MSTRG.83	1825	1643	1179	877	334	1968	1310	1017	840	674
MSTRG.84	262	231	283	235	123	299	237	97	259	327
MSTRG.85	13	20	13	9	0	17	15	5	7	3
MSTRG.86	274	242	222	210	128	347	227	137	167	194
MSTRG.88	0	0	0	0	1	0	0	0	1	0
MSTRG.90	200	167	181	170	152	194	196	226	180	207
MSTRG.91	241	176	243	232	157	247	230	201	232	181
MSTRG.92	10	7	20	15	10	14	14	8	7	9
MSTRG.93	9	10	16	27	43	12	12	19	30	4
MSTRG.94	280	358	420	453	699	456	481	577	617	1283
MSTRG.95	7	7	11	24	18	30	35	21	48	11
MSTRG.96	256	298	290	265	374	245	266	272	303	316
MSTRG.97	665	674	761	728	974	684	766	725	844	620
MSTRG.99	1041	878	709	707	715	1038	945	1024	966	637
MSTRG.101	202	258	335	358	317	264	279	379	271	450
MSTRG.102	613	558	575	597	397	629	553	806	561	391
MSTRG.103	110	139	275	330	408	176	250	334	359	213
MSTRG.104	30	33	77	99	44	48	65	67	91	21
MSTRG.105	9	5	5	9	4	6	8	9	11	8
MSTRG.106	244	266	337	370	287	164	245	423	462	205
